CM_TARGET_GUID,CM_TARGET_TYPE,CM_TARGET_NAME,CM_SNAPSHOT_TYPE,LAST_COLLECTION_TIMESTAMP,ECM_SNAPSHOT_ID,NAME,VERSION,CURRENTLY_USED,EVER_USED,FIRST_USAGE_DATE,AUX_COUNT,FEATURE_INFO,TOTAL_SAMPLES,LAST_USAGE_DATE,LAST_SAMPLE_DATE,LAST_SAMPLE_PERIOD,DBID,DETECTED_USAGES
2zkCwivGKa0uoAI2/JevBQ==,Mysql_database,SQCORPRD_SQCORPRD2,Mysql_dbconfig,2023-03-13T21:23:18.000,vZPumjeWWpLgU6W1MgoTGw==,SecureFile Encryption (system),19.0.0.0.0,FALSE,,,0,,137,,2023-03-11T02:10:50.000,604800,2830031786,0
K/P2eXP6A97tDvmVyyLwmQ==,Mysql_database,ENRORPRD_ENRORPRD1,Mysql_dbconfig,2023-03-13T21:53:28.000,vZIh3RTOhUngU6W1Mgpl0w==,ACFS,19.0.0.0.0,TRUE,,2021-11-13T09:42:06.000,0,:num_filesystems:0,147,2023-03-10T23:34:12.000,2023-03-10T23:34:12.000,604800,2646858330,70
h0NmWRKvNd761FJDo8tQ4Q==,Mysql_database,OPMORSTG_OPMORSTG1,Mysql_dbconfig,2023-03-13T19:13:36.000,vVV4tv6BHITgU6W1MgpYWg==,Backup BZIP2 Compression,19.0.0.0.0,FALSE,,,0,,149,,2023-03-11T01:39:35.000,596163,2591552930,0
80L9o1pXvr2s6w8hRtNqTQ==,Mysql_database,WDCORPRD_WDCORPRD2,Mysql_dbconfig,2023-03-14T03:38:25.000,0CKHZTPum/TgU6W1MgqL6g==,ACFS,12.2.0.1.0,TRUE,,2021-08-18T16:01:17.000,0,:num_filesystems:0,82,2023-03-10T23:34:02.000,2023-03-10T23:34:02.000,603702,4035832898,82
7RGp3wWF7VrClN71z4JDsA==,Mysql_database,EMCORPRD_EMCORPRD2,Mysql_dbconfig,2023-03-14T03:16:00.000,vZLmtNgHE2zgU6W1MgqFWQ==,Automatic Maintenance - Optimizer Statistics Gathering,19.0.0.0.0,TRUE,,2020-05-14T06:51:05.000,16,,148,2023-03-10T23:33:48.000,2023-03-10T23:33:48.000,605927,3744729196,148
smWPvqmZTAY4XTHRWZbQnQ==,Mysql_database,CT2ORPRD_CT2ORPRD2_1,Mysql_dbconfig,2023-03-14T00:56:09.000,1Zm08ZJE+wngU6W1MgrplA==,OLAP - Cubes,19.0.0.0.0,FALSE,,,0,,74,,2023-03-10T23:26:44.000,604800,366548152,0
3VNJkrhaQLrgU6W1MgrwPg==,Mysql_database,CT2SJPRD_CT2SJPRD2,Mysql_dbconfig,2023-03-14T02:09:36.000,3VRCyayTWBTgU6W1MgrO3w==,ACFS,19.0.0.0.0,TRUE,,2021-11-16T00:52:20.000,0,:num_filesystems:0,83,2023-03-11T00:17:35.000,2023-03-11T00:17:35.000,608555,3234946838,69
sZS0FyjuBdD6OiHDY0oqTw==,Mysql_pdb,WEMARCPD_WEMARCPDB,Mysql_pdbconfig,2023-03-13T21:56:49.000,zhWCQFm9INrgU6W1MgrK0A==,Adaptive Plans,19.0.0.0.0,TRUE,,2021-10-11T13:16:12.000,,Total number of queries: 7222Number of queries with an adaptive plan: 1285Percentage of queries with an adaptive plan: 17.79285516477430074771531431736361118804Are the queries running in reporting mode  : No,74,2023-03-12T16:49:28.000,2023-03-12T16:49:28.000,604842,3822978209,74
L3ZIrSRmPNlaklcokGTnKA==,Mysql_database,BSTORSDX_BSTORSDX1,Mysql_dbconfig,2023-03-14T03:01:20.000,vVV5LfgmHIDgU6W1Mgp2RQ==,Streams (system),19.0.0.0.0,FALSE,,,0,,137,,2023-03-11T01:38:46.000,596206,321181775,0
57Tc4NoSYKkibH9awttL0g==,Mysql_database,CT2ORPRD_CT2ORPRD1_1,Mysql_dbconfig,2023-03-14T05:29:35.000,1Zm08l4u+tPgU6W1Mgom9A==,XStream In,19.0.0.0.0,FALSE,,,0,,74,,2023-03-10T23:26:44.000,604800,366548152,0
1z89alBXrdHRG9nytN2pWA==,Mysql_database,DBORPRD_DBORPRD2,Mysql_dbconfig,2023-03-13T22:37:27.000,vZPt7rS6WZzgU6W1MgrFfw==,Adaptive Plans,19.0.0.0.0,TRUE,,2021-01-12T06:27:55.000,0,Total number of queries: 15902Number of queries with an adaptive plan: 924Percentage of queries with an adaptive plan: 5.81058986291032574518928436674632121746Are the queries running in reporting mode  : No,113,2023-03-11T03:40:47.000,2023-03-11T03:40:47.000,604800,3089726311,113
vVT2sTEIyQLgU6W1MgqX+Q==,Mysql_database,MFTORSTG_MFTORSTG2,Mysql_dbconfig,2023-03-14T04:12:58.000,vVV5LfTZHIDgU6W1Mgp2RQ==,XStream Streams,19.0.0.0.0,FALSE,,,0,,136,,2023-03-11T01:40:28.000,596108,831191485,0
NIpxcqknALiAXKrzpDkimA==,Mysql_database,EMCORSTG_EMCORSTG2,Mysql_dbconfig,2023-03-14T05:29:31.000,vUHVvsjEHg7gU6W1MgqR4A==,CONVERT command,19.0.0.0.0,FALSE,,,0,,157,,2023-03-11T01:39:07.000,613446,3977148782,0
HMDMpxt0f/3Ueb5TO5vK8g==,Mysql_pdb,ACIQA_ACIQAPDB,Mysql_pdbconfig,2023-03-14T01:08:23.000,va9fLCsHK4PgU6W1Mgo2/A==,Adaptive Plans,19.0.0.0.0,FALSE,,2020-04-23T13:42:04.000,,Total number of queries: 6147Number of queries with an adaptive plan: 582Percentage of queries with an adaptive plan: 9.4680331869204489995119570522205954124Are the queries running in reporting mode  : No,150,2020-06-27T14:50:08.000,2023-03-07T14:37:48.000,604855,32953364,10
72FkrN3oshvgU6W1MgoWBg==,Mysql_database,WOIORSTG_WOIORSTG1,Mysql_dbconfig,2023-03-13T21:09:08.000,72OfPx3LAiLgU6W1MgpuUg==,ACFS,19.0.0.0.0,TRUE,,2021-10-23T01:33:11.000,0,:num_filesystems:0,142,2023-03-11T01:38:50.000,2023-03-11T01:38:50.000,613430,365422310,73
AL2NidmDU5pG1YyZk9rA1g==,Mysql_pdb,sj1dra724_ACIPRD_ACIPRDPDB,Mysql_pdbconfig,2023-03-14T04:49:49.000,2f2XFxXmVArgU6W1Mgrw+g==,ACFS,19.0.0.0.0,TRUE,,2022-04-23T06:35:19.000,,:num_filesystems:0,32,2023-03-11T01:52:10.000,2023-03-11T01:52:10.000,604844,3379663966,26
Kk8wWbi92u2fymvzGHRKDg==,Mysql_database,CTORSTG_CTORSTG1_1,Mysql_dbconfig,2023-03-13T21:50:40.000,w8k1O0rTnVXgU6W1MgoiqA==,ACFS Encryption,19.0.0.0.0,FALSE,,,0,,95,,2023-03-11T01:39:41.000,604800,1445035246,0
